Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent),Total
Africa,,1965,2100.038,0,120.327515,2220.365515
Africa,,1966,2136.0056,0,130.85204,2266.85764
Africa,,1967,2098.993,0,133.11778,2232.11078
Africa,,1968,2144.7507,0,151.69075,2296.44145
Africa,,1969,2124.9058,0,172.43185,2297.33765
Africa,,1970,2217.448,0,209.9596,2427.4076
Africa,,1971,2327.6875,0,193.88963,2521.57713
Africa,,1972,2382.4246,0,214.96866,2597.39326
Africa,,1973,2521.6003,0,221.31831,2742.91861
Africa,,1974,2557.824,0,244.8497,2802.6737
Africa,,1975,2636.8022,0,251.67593,2888.47813
Africa,,1976,2772.193,0,271.04178,3043.23478
Africa,,1977,2830.2603,0,289.54593,3119.80623
Africa,,1978,2866.742,0,283.70715,3150.44915
Africa,,1979,3039.8958,0,294.7779,3334.6737
Africa,,1980,3207.585,0,279.15494,3486.73994
Africa,,1981,3520.787,0,281.55157,3802.33857
Africa,,1982,3662.2566,0,273.31485,3935.57145
Africa,,1983,3689.1682,0,239.29852,3928.46672
Africa,,1984,3681.5173,20.055212,228.67145,3930.243962
Africa,,1985,3698.106,26.379913,246.93538,3971.421293
Africa,,1986,3643.628,42.45515,250.23967,3936.32282
Africa,,1987,3694.727,28.907385,233.41866,3957.053045
Africa,,1988,3823.5017,47.83034,247.50577,4118.83781
Africa,,1989,3711.0886,49.221844,252.65205,4012.962494
Africa,,1990,3750.7014,36.455956,250.95506,4038.112416
Africa,,1991,3627.1719,38.420593,258.72534,3924.317833
Africa,,1992,3599.761,38.0218,240.79237,3878.57517
Africa,,1993,3530.9937,28.929296,230.28816,3790.211156
Africa,,1994,3555.032,37.699104,227.6408,3820.371904
Africa,,1995,3599.9912,42.84408,230.9342,3873.76948
Africa,,1996,3595.576,43.52558,235.57886,3874.68044
Africa,,1997,3577.62,45.601315,235.8491,3859.070415
Africa,,1998,3528.7424,47.824593,241.22305,3817.790043
Africa,,1999,3544.0288,44.018295,249.04118,3837.088275
Africa,,2000,3526.8416,43.510277,261.0247,3831.376577
Africa,,2001,3571.5596,34.766743,272.44382,3878.770163
Africa,,2002,3515.2224,37.61349,277.12067,3829.95656
Africa,,2003,3603.3909,38.520435,262.84106,3904.752395
Africa,,2004,3830.0525,39.421738,270.56003,4140.034268
Africa,,2005,3703.4006,32.206997,265.8629,4001.470497
Africa,,2006,3689.7976,27.72426,269.4868,3987.00866
Africa,,2007,3728.9827,30.339426,268.94482,4028.266946
Africa,,2008,3866.9568,33.70249,265.62747,4166.28676
Africa,,2009,3816.429,32.171,265.54974,4114.14974
Africa,,2010,3830.052,32.85396,278.99817,4141.90413
Africa,,2011,3789.4915,30.382132,279.54736,4099.420992
Africa,,2012,3873.5662,29.606596,273.77493,4176.947726
Africa,,2013,3887.9683,31.13335,281.55685,4200.6585
Africa,,2014,3903.0178,29.514488,295.8668,4228.399088
Africa,,2015,3894.091,25.39166,296.04233,4215.52499
Africa,,2016,3882.2961,30.17384,291.4406,4203.91054
Africa,,2017,3895.927,27.65799,303.4795,4227.06449
Africa,,2018,3847.223,21.898853,318.17496,4187.296813
Africa,,2019,3843.2021,24.33371,329.0328,4196.56861
Africa,,2020,3539.1128,17.708193,344.05127,3900.872263
Africa,,2021,3750.9722,21.524996,360.17108,4132.668276
Africa,,2022,3713.7158,17.151154,365.4076,4096.274554
Africa,,2023,3677.0955,13.341766,374.60486,4065.042126
Africa,,2024,3642.644,12.556185,377.19424,4032.394425
Algeria,DZA,1965,1912.4933,0,89.85225,2002.34555
Algeria,DZA,1966,2286.151,0,78.324524,2364.475524
Algeria,DZA,1967,2099.6272,0,88.44972,2188.07692
Algeria,DZA,1968,2177.2595,0,118.72274,2295.98224
Algeria,DZA,1969,2409.6035,0,74.412346,2484.015846
Algeria,DZA,1970,2542.408,0,116.88505,2659.29305
Algeria,DZA,1971,2748.9333,0,65.01672,2813.95002
Algeria,DZA,1972,2993.2708,0,95.306915,3088.577715
Algeria,DZA,1973,3454.5056,0,141.4168,3595.9224
Algeria,DZA,1974,3795.5051,0,91.22508,3886.73018
Algeria,DZA,1975,4426.4014,0,58.111755,4484.513155
Algeria,DZA,1976,4933.329,0,65.85071,4999.17971
Algeria,DZA,1977,5254.892,0,43.91295,5298.80495
Algeria,DZA,1978,6432.991,0,39.666725,6472.657725
Algeria,DZA,1979,8187.756,0,44.816143,8232.572143
Algeria,DZA,1980,9479.301,0,38.36632,9517.66732
Algeria,DZA,1981,11139.231,0,52.89434,11192.12534
Algeria,DZA,1982,12414.017,0,66.95511,12480.97211
Algeria,DZA,1983,13146.717,0,31.752792,13178.46979
Algeria,DZA,1984,12169.049,0,59.023945,12228.07295
Algeria,DZA,1985,11831.149,0,81.534,11912.683
Algeria,DZA,1986,12167.299,0,30.531067,12197.83007
Algeria,DZA,1987,12101.053,0,59.125286,12160.17829
Algeria,DZA,1988,12645.646,0,21.084324,12666.73032
Algeria,DZA,1989,11973.587,0,25.360159,11998.94716
Algeria,DZA,1990,12396.628,0,14.77785,12411.40585
Algeria,DZA,1991,11975.89,0,31.31795,12007.20795
Algeria,DZA,1992,12003.59,0,20.758823,12024.34882
Algeria,DZA,1993,10886.487,0,35.948013,10922.43501
Algeria,DZA,1994,10808.881,0,16.534819,10825.41582
Algeria,DZA,1995,10978.996,0,18.83061,10997.82661
Algeria,DZA,1996,10661.146,0,12.916317,10674.06232
Algeria,DZA,1997,10062.375,0,7.043214,10069.41821
Algeria,DZA,1998,10238.633,0,19.87155,10258.50455
Algeria,DZA,1999,10199.851,0,18.503714,10218.35471
Algeria,DZA,2000,9700.589,0,4.853757,9705.442757
Algeria,DZA,2001,9913.76,0,6.083635,9919.843635
Algeria,DZA,2002,10134.669,0,4.918434,10139.58743
Algeria,DZA,2003,10447.399,0,22.441414,10469.84041
Algeria,DZA,2004,10697.911,0,20.847458,10718.75846
Algeria,DZA,2005,11014.486,0,45.085335,11059.57134
Algeria,DZA,2006,11260.006,0,17.303911,11277.30991
Algeria,DZA,2007,11670.299,0,17.580404,11687.8794
Algeria,DZA,2008,12142.406,0,21.446495,12163.8525
Algeria,DZA,2009,12620.418,0,25.292381,12645.71038
Algeria,DZA,2010,12116.906,0,13.104223,12130.01022
Algeria,DZA,2011,12556.995,0,27.808144,12584.80314
Algeria,DZA,2012,13455.075,0,28.461094,13483.53609
Algeria,DZA,2013,13969.558,0,8.495372,13978.05337
Algeria,DZA,2014,14919.644,0,16.485394,14936.12939
Algeria,DZA,2015,15415.481,0,14.043776,15429.52478
Algeria,DZA,2016,15081.649,0,20.669205,15102.31821
Algeria,DZA,2017,14925.982,0,34.721138,14960.70314
Algeria,DZA,2018,15708.456,0,42.722477,15751.17848
Algeria,DZA,2019,15990.481,0,44.422848,16034.90385
Algeria,DZA,2020,14689.341,0,41.61563,14730.95663
Algeria,DZA,2021,15769.007,0,37.627235,15806.63424
Algeria,DZA,2022,16106.297,0,36.79232,16143.08932
Algeria,DZA,2023,16953.357,0,38.51573,16991.87273
Algeria,DZA,2024,16195.551,0,39.236385,16234.78739
Angola,AGO,1965,,0,,0
Angola,AGO,1966,,0,,0
Angola,AGO,1967,,0,,0
Angola,AGO,1968,,0,,0
Angola,AGO,1969,,0,,0
Angola,AGO,1970,,0,,0
Angola,AGO,1971,,0,,0
Angola,AGO,1972,,0,,0
Angola,AGO,1973,,0,,0
Angola,AGO,1974,,0,,0
Angola,AGO,1975,,0,,0
Angola,AGO,1976,,0,,0
Angola,AGO,1977,,0,,0
Angola,AGO,1978,,0,,0
Angola,AGO,1979,,0,,0
Angola,AGO,1980,,0,,0
Angola,AGO,1981,,0,,0
Angola,AGO,1982,,0,,0
Angola,AGO,1983,,0,,0
Angola,AGO,1984,,0,,0
Angola,AGO,1985,,0,,0
Angola,AGO,1986,,0,,0
Angola,AGO,1987,,0,,0
Angola,AGO,1988,,0,,0
Angola,AGO,1989,,0,,0
Angola,AGO,1990,,0,,0
Angola,AGO,1991,,0,,0
Angola,AGO,1992,,0,,0
Angola,AGO,1993,,0,,0
Angola,AGO,1994,,0,,0
Angola,AGO,1995,,0,,0
Angola,AGO,1996,,0,,0
Angola,AGO,1997,,0,,0
Angola,AGO,1998,,0,,0
Angola,AGO,1999,,0,,0
Angola,AGO,2000,,0,,0
Angola,AGO,2001,,0,,0
Angola,AGO,2002,,0,,0
Angola,AGO,2003,,0,,0
Angola,AGO,2004,,0,,0
Angola,AGO,2005,,0,,0
Angola,AGO,2006,,0,,0
Angola,AGO,2007,,0,,0
Angola,AGO,2008,,0,,0
Angola,AGO,2009,,0,,0
Angola,AGO,2010,,0,,0
Angola,AGO,2011,,0,,0
Angola,AGO,2012,,0,,0
Angola,AGO,2013,,0,,0
Angola,AGO,2014,,0,,0
Angola,AGO,2015,,0,,0
Angola,AGO,2016,,0,,0
Angola,AGO,2017,,0,,0
Angola,AGO,2018,,0,,0
Angola,AGO,2019,,0,,0
Angola,AGO,2020,,0,,0
Angola,AGO,2021,,0,,0
Angola,AGO,2022,,0,,0
Angola,AGO,2023,,0,,0
Angola,AGO,2024,,0,,0
Argentina,ARG,1965,14693.183,0,153.89847,14847.08147
Argentina,ARG,1966,14941.964,0,153.51581,15095.47981
Argentina,ARG,1967,15144.254,0,154.81845,15299.07245
Argentina,ARG,1968,15395.546,0,179.70206,15575.24806
Argentina,ARG,1969,15693.698,0,158.7184,15852.4164
Argentina,ARG,1970,14603.308,0,188.50183,14791.80983
Argentina,ARG,1971,15252.431,0,184.65445,15437.08545
Argentina,ARG,1972,15206.821,0,179.01086,15385.83186
Argentina,ARG,1973,15467.654,0,339.91846,15807.57246
Argentina,ARG,1974,15489.135,113.02534,552.394,16154.55434
Argentina,ARG,1975,14681.242,270.21866,565.4263,15516.88696
Argentina,ARG,1976,15234.303,271.83502,537.2742,16043.41222
Argentina,ARG,1977,15712.666,170.29637,607.406,16490.36837
Argentina,ARG,1978,15227.6455,296.4911,800.46326,16324.59986
Argentina,ARG,1979,15826.289,271.23965,1084.5325,17182.06115
Argentina,ARG,1980,15049.28,232.04674,1512.496,16793.82274
Argentina,ARG,1981,14305.045,274.81146,1442.6324,16022.48886
Argentina,ARG,1982,14266.978,179.58775,1701.9099,16148.47565
Argentina,ARG,1983,14502.522,321.80685,1757.2126,16581.54145
Argentina,ARG,1984,14066.837,431.6923,1861.0142,16359.5435
Argentina,ARG,1985,13458.305,527.9677,1903.4795,15889.7522
Argentina,ARG,1986,13985.498,514.861,1908.505,16408.864
Argentina,ARG,1987,14354.658,573.8997,1955.7642,16884.3219
Argentina,ARG,1988,15085.249,506.7742,1345.8164,16937.8396
Argentina,ARG,1989,14517.129,433.7405,1145.3921,16096.2616
Argentina,ARG,1990,13437.675,617.4459,1514.8094,15569.9303
Argentina,ARG,1991,13635.374,648.33746,1338.8584,15622.56986
